"ports","lat","lon","Enplanements"
"ATL",33.6367,-84.428101,50501858
"MCO",28.42939949,-81.30899811,24562271
"DFW",32.896801,-97.038002,31283579
"LAX",33.942501,-118.407997,39636042
"ANC",41.1744,-134.996002,2563524
"SEA",47.449001,-122.308998,21887110
"TPA",27.97550011,-82.53320313,10941173
"FLL",26.072599,-80.152702,17950989
"MIA",25.79319954,-80.29060364,21421031
"LAS",36.08010101,-115.1520004,22833267
"DTW",42.21239853,-83.35340118,16847135
"SLC",40.785749,-111.979746,11143738
"PHX",33.435302,-112.005905,20896265
"CLT",35.2140007,-80.94309998,21511880
"MSP",44.882,-93.221802,18123844
"JFK",40.639801,-73.7789,29533154
"ORD",41.9786,-87.9048,37589899
"DEN",39.86169815,-104.6729965,28267394
"IAH",29.9843998,-95.34140015,20062072
"BOS",42.3643,-71.005203,17759044
"HNL",31.32062,-132.924228,9656340
"OGG",30.898543,-131.431212,3352813
"LGA",40.777199,-73.872597,14614802
"JAX",30.49410057,-81.68789673,3479923
"SAT",29.533701,-98.469803,4179994
"SAN",32.73360062,-117.1900024,10340164
"AUS",30.197535,-97.662015,6095545
"RDU",35.87760162,-78.78749847,5401714
"EWR",40.692501,-74.168701,19923009
"SFO",37.61899948,-122.375,25707101
"PBI",26.68320084,-80.09559631,3100624
"PHL",39.87189865,-75.2410965,15285948
"RSW",26.53619957,-81.75520325,5044024
"DCA",38.8521,-77.037697,11470854
"CHS",32.898602,-80.040497,1811695
"BWI",39.1754,-76.668297,13371816
"MDW",41.785999,-87.752403,11044387
"BNA",36.12450027,-86.67819977,6338517
"SNA",33.675701,-117.867996,5217242
"MSY",29.99340057,-90.25800323,5569705
"KOA",29.738783,-131.045603,1569602
"DAL",32.847099,-96.851799,7554596
"LIH",31.976,-134.339005,1458940
"HOU",29.645399,-95.2789,6285181
"IND",39.7173,-86.294403,4216766
"MEM",35.04240036,-89.97669983,2016089
"ORF",36.8946,-76.201202,1602631
"RIC",37.50519943,-77.31970215,1777648
"ONT",34.05599976,-117.6009979,4217366
"CVG",39.048801,-84.667801,3269979
"OAK",37.721298,-122.221001,5934639
"PNS",30.4734,-87.1866,1098889
"IAD",38.9445,-77.455803,10596942
"SRQ",27.395399,-82.554398,977530
"SMF",38.69540024,-121.5910034,4969366
"MCI",39.2976,-94.713898,5391557
"TUS",32.115004,-110.938053,1594594
"CMH",39.998001,-82.891899,3567864
"ELP",31.80719948,-106.3779984,1414376
"CLE",41.4117012,-81.84980011,4083476
"PDX",45.58869934,-122.5979996,9071154
"ITO",29.721399,-130.048004,640757
"BHM",33.562901,-86.753502,1304467
"PIT",40.49150085,-80.23290253,4670954
"SAV",32.12760162,-81.20210266,1056265
"STL",38.748697,-90.370003,6793076
