IATA.Code,ICAO.Code,Air.Carrier.Name,Short.Name,Color,Hubs
ZW,AWI,Air Wisconsin,Air Wisconsin,,
AS,ASA,Alaska Airlines,Alaska,#202050,"ANC,LAX,PDX,SFO,SEA"
G4,AAY ,Allegiant Air LLC ,Allegiant,,
AA,AAL,American Airlines,American,#C42D31,"CLT,ORD,DFW,LAX,MIA,JFK,LGA,PHL,PHX,DCA"
C5,UCA ,Champlain Air ,Champlain,,
CP,CPZ ,Compass Airlines ,Compass,,
DL,DAL ,"Delta Air Lines, Inc. ",Delta,#882537,"ATL,BOS,DTW,LAX,MSP,JFK,LGA,SLC,SEA"
EM,CFS ,Empire Airline ,Empire,,
9E,EDV ,Endeavor Air ,Endeavor,,
MQ,ENY ,Envoy Air ,Envoy,,
EV,ASQ ,ExpressJet Airlines ,ExpressJet,,
F9,FFT ,"Frontier Airlines, Inc. ",Frontier,#418369,"ATL,ORD,CLE,LAS,MIA,MCO,PHL,PHX,TPA,TTN"
G7,GJS ,GoJet Airlines ,GoJet,,
HA,HAL ,Hawaiian Airlines Inc. ,Hawaiian,#A1418E,"HNL,OGG"
QX,QXE ,Horizon Air ,Horizon,,
B6,JBU ,Jetblue Airways Corporation ,Jetblue,#303E71,"BOS,FLL,LAX,JFK,MCO"
OH,JIA ,Jetstream Intl ,Jetstream,,
YV,ASH ,"Mesa Airlines, Inc. ",Mesa,,
KS,NLA ,Penair ,Penair ,,
PT,PDT ,Piedmont Airlines ,Piedmont,,
YX,RPA ,Republic Airlines ,Republic,,
OO,SKW ,Skywest Airlines ,Skywest,#37509A,"ORD,DEN,DTW,IAH,LAX,MSP,PHX,PDX,SLC,SFO,SEA"
WN,SWA ,Southwest Airlines ,Southwest,#E6A137,"ATL,BWI,MDW,DAL,DEN,HOU,LAS,LAX,OAK,MCO,PHX"
NK,NKS ,"Spirit Airlines, Inc. ",Spirit,#FDEB03,"ATL,ACY,ORD,DFW,DTW,FLL,LAS,MIA,MCO"
AX,LOF ,Trans State ,Trans State,,
UA,UAL ,"United Airlines, Inc. ",United,#3782CC,"ORD,DEN,IAH,LAX,EWR,SFO,IAD"
