"city1","city2","nsmiles","passengers_sum","fare_mean","carrier_lg","fare_lg","carrier_low","fare_low","fare_other","port1_lat","port1_lon","port2_lat","port2_lon"
"Albany, NY","Chicago, IL",723,593,208.096509274874,"UA",211.917116357504,"WN",183.426424957841,237.088999037753,42.74829865,-73.80169678,41.9786,-87.9048
"Albany, NY","Denver, CO",1610,321,222.93,"WN",258.51,"F9",119.6,316.488738938053,42.74829865,-73.80169678,39.86169815,-104.6729965
"Albany, NY","Miami, FL",1225,962,188.603565488565,"B6",179.512879417879,"B6",179.512879417879,207.023000835919,42.74829865,-73.80169678,25.79319954,-80.29060364
"Albany, NY","Orlando, FL",1073,1736,164.449256912442,"WN",174.002188940092,"B6",131.362862903226,169.568299452577,42.74829865,-73.80169678,28.42939949,-81.30899811
"Albany, NY","Tampa, FL",1138,266,168.22,"WN",208.4,"F9",89.98,157.029515320334,42.74829865,-73.80169678,27.97550011,-82.53320313
"Albany, NY","Washington, DC",325,542,179.975608856089,"WN",161.538302583026,"WN",161.538302583026,196.732033315457,42.74829865,-73.80169678,38.8521,-77.037697
"Albuquerque, NM","Chicago, IL",1121,616,238.124951298701,"AA",233.302548701299,"WN",224.992386363636,256.374864241226,35.040199,-106.609001,41.9786,-87.9048
"Albuquerque, NM","Dallas/Fort Worth, TX",580,1420,181.373802816901,"AA",180.546309859155,"WN",179.136450704225,189.916633580497,35.040199,-106.609001,32.896801,-97.038002
"Albuquerque, NM","Denver, CO",349,656,150.965091463415,"WN",149.130807926829,"WN",149.130807926829,154.530119457762,35.040199,-106.609001,39.86169815,-104.6729965
"Albuquerque, NM","Houston, TX",759,911,210.516608122942,"WN",198.714357848518,"WN",198.714357848518,226.440086795113,35.040199,-106.609001,29.9843998,-95.34140015
"Albuquerque, NM","Las Vegas, NV",486,1242,172.144331723027,"WN",175.883252818035,"G4",91.0406763285024,191.697958463071,35.040199,-106.609001,36.08010101,-115.1520004
"Albuquerque, NM","Los Angeles, CA",677,2071,184.016788990826,"WN",181.029396426847,"WN",179.503133751811,189.077031905004,35.040199,-106.609001,33.942501,-118.407997
"Albuquerque, NM","New York City, NY",1861,1058,265.657967863894,"B6",220.858922495274,"B6",220.858922495274,299.490801795741,35.040199,-106.609001,40.639801,-73.7789
"Albuquerque, NM","Phoenix, AZ",328,1517,166.276763348715,"WN",168.269907712591,"AA",160.479670402109,205.23248177178,35.040199,-106.609001,33.435302,-112.005905
"Albuquerque, NM","San Francisco, CA",896,1246,217.65658105939,"WN",199.946356340289,"WN",199.946356340289,244.883830059857,35.040199,-106.609001,37.61899948,-122.375
