"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"ATL-MCO","DL",404,1557495,"ATL","MCO",33.6367,-84.428101,28.42939949,-81.30899811,"Delta","#882537"
"DFW-LAX","AA",1235,1504019,"DFW","LAX",32.896801,-97.038002,33.942501,-118.407997,"American","#C42D31"
"ANC-SEA","AS",1448,1269224,"ANC","SEA",41.1744,-134.996002,47.449001,-122.308998,"Alaska","#202050"
"ATL-LAX","DL",1947,1255438,"ATL","LAX",33.6367,-84.428101,33.942501,-118.407997,"Delta","#882537"
"ATL-TPA","DL",406,1191641,"ATL","TPA",33.6367,-84.428101,27.97550011,-82.53320313,"Delta","#882537"
"ATL-FLL","DL",581,1184824,"ATL","FLL",33.6367,-84.428101,26.072599,-80.152702,"Delta","#882537"
"DFW-MIA","AA",1121,1180835,"DFW","MIA",32.896801,-97.038002,25.79319954,-80.29060364,"American","#C42D31"
"DFW-LAS","AA",1055,1131169,"DFW","LAS",32.896801,-97.038002,36.08010101,-115.1520004,"American","#C42D31"
"ATL-DTW","DL",594,1105853,"ATL","DTW",33.6367,-84.428101,42.21239853,-83.35340118,"Delta","#882537"
"ATL-SLC","DL",1590,1103286,"ATL","SLC",33.6367,-84.428101,40.785749,-111.979746,"Delta","#882537"
"DFW-PHX","AA",868,1090892,"DFW","PHX",32.896801,-97.038002,33.435302,-112.005905,"American","#C42D31"
"CLT-DFW","AA",936,1069587,"CLT","DFW",35.2140007,-80.94309998,32.896801,-97.038002,"American","#C42D31"
"LAX-MIA","AA",2342,1057660,"LAX","MIA",33.942501,-118.407997,25.79319954,-80.29060364,"American","#C42D31"
"ATL-MSP","DL",907,1056492,"ATL","MSP",33.6367,-84.428101,44.882,-93.221802,"Delta","#882537"
"CLT-MCO","AA",468,1047494,"CLT","MCO",35.2140007,-80.94309998,28.42939949,-81.30899811,"American","#C42D31"
"JFK-MIA","AA",1089,1047032,"JFK","MIA",40.639801,-73.7789,25.79319954,-80.29060364,"American","#C42D31"
"DFW-ORD","AA",801,1045977,"DFW","ORD",32.896801,-97.038002,41.9786,-87.9048,"American","#C42D31"
"DEN-IAH","UA",862,1045398,"DEN","IAH",39.86169815,-104.6729965,29.9843998,-95.34140015,"United","#3782CC"
"ATL-BOS","DL",946,1039401,"ATL","BOS",33.6367,-84.428101,42.3643,-71.005203,"Delta","#882537"
"HNL-OGG","HA",100,1026361,"HNL","OGG",31.32062,-132.924228,30.898543,-131.431212,"Hawaiian","#A1418E"
"DEN-ORD","UA",888,1017041,"DEN","ORD",39.86169815,-104.6729965,41.9786,-87.9048,"United","#3782CC"
"ATL-MIA","DL",594,977684,"ATL","MIA",33.6367,-84.428101,25.79319954,-80.29060364,"Delta","#882537"
"ATL-LGA","DL",762,977463,"ATL","LGA",33.6367,-84.428101,40.777199,-73.872597,"Delta","#882537"
"DFW-MCO","AA",985,964107,"DFW","MCO",32.896801,-97.038002,28.42939949,-81.30899811,"American","#C42D31"
"ATL-JAX","DL",270,955095,"ATL","JAX",33.6367,-84.428101,30.49410057,-81.68789673,"Delta","#882537"
"DFW-SAT","AA",247,947752,"DFW","SAT",32.896801,-97.038002,29.533701,-98.469803,"American","#C42D31"
"IAH-ORD","UA",925,927563,"IAH","ORD",29.9843998,-95.34140015,41.9786,-87.9048,"United","#3782CC"
"JFK-LAX","DL",2475,923062,"JFK","LAX",40.639801,-73.7789,33.942501,-118.407997,"Delta","#882537"
"ATL-LAS","DL",1747,920699,"ATL","LAS",33.6367,-84.428101,36.08010101,-115.1520004,"Delta","#882537"
"DFW-SAN","AA",1171,916250,"DFW","SAN",32.896801,-97.038002,32.73360062,-117.1900024,"American","#C42D31"
