"pair","carrier","dist","pass","port1","port2","carrier_name"
"ATL-MCO","DL",404,1557495,"ATL","MCO","Delta"
"DFW-LAX","AA",1235,1504019,"DFW","LAX","American"
"ANC-SEA","AS",1448,1269224,"ANC","SEA","Alaska"
"ATL-LAX","DL",1947,1255438,"ATL","LAX","Delta"
"ATL-TPA","DL",406,1191641,"ATL","TPA","Delta"
"ATL-FLL","DL",581,1184824,"ATL","FLL","Delta"
"DFW-MIA","AA",1121,1180835,"DFW","MIA","American"
"DFW-LAS","AA",1055,1131169,"DFW","LAS","American"
"ATL-DTW","DL",594,1105853,"ATL","DTW","Delta"
"ATL-SLC","DL",1590,1103286,"ATL","SLC","Delta"
"DFW-PHX","AA",868,1090892,"DFW","PHX","American"
"CLT-DFW","AA",936,1069587,"CLT","DFW","American"
"LAX-MIA","AA",2342,1057660,"LAX","MIA","American"
"ATL-MSP","DL",907,1056492,"ATL","MSP","Delta"
"CLT-MCO","AA",468,1047494,"CLT","MCO","American"
"JFK-MIA","AA",1089,1047032,"JFK","MIA","American"
"DFW-ORD","AA",801,1045977,"DFW","ORD","American"
"DEN-IAH","UA",862,1045398,"DEN","IAH","United"
"ATL-BOS","DL",946,1039401,"ATL","BOS","Delta"
"HNL-OGG","HA",100,1026361,"HNL","OGG","Hawaiian"
"DEN-ORD","UA",888,1017041,"DEN","ORD","United"
"ATL-MIA","DL",594,977684,"ATL","MIA","Delta"
"ATL-LGA","DL",762,977463,"ATL","LGA","Delta"
"DFW-MCO","AA",985,964107,"DFW","MCO","American"
"ATL-JAX","DL",270,955095,"ATL","JAX","Delta"
"DFW-SAT","AA",247,947752,"DFW","SAT","American"
"IAH-ORD","UA",925,927563,"IAH","ORD","United"
"JFK-LAX","DL",2475,923062,"JFK","LAX","Delta"
"ATL-LAS","DL",1747,920699,"ATL","LAS","Delta"
"DFW-SAN","AA",1171,916250,"DFW","SAN","American"
"DEN-DFW","AA",641,915998,"DEN","DFW","American"
"AUS-DFW","AA",190,906674,"AUS","DFW","American"
"CLT-MIA","AA",650,894459,"CLT","MIA","American"
"ATL-RDU","DL",356,880452,"ATL","RDU","Delta"
"ORD-PHX","AA",1440,852604,"ORD","PHX","American"
"IAH-LAX","UA",1379,851812,"IAH","LAX","United"
"LAX-SEA","AS",954,850556,"LAX","SEA","Alaska"
"EWR-MCO","UA",937,846420,"EWR","MCO","United"
"CLT-TPA","AA",507,844770,"CLT","TPA","American"
"LAX-ORD","AA",1744,828771,"LAX","ORD","American"
"LAX-ORD","UA",1744,825975,"LAX","ORD","United"
"CLT-ORD","AA",599,822980,"CLT","ORD","American"
"ORD-SFO","UA",1846,819852,"ORD","SFO","United"
"ATL-PBI","DL",545,813857,"ATL","PBI","Delta"
"DEN-PHX","WN",602,812886,"DEN","PHX","Southwest"
"BOS-CLT","AA",728,802230,"BOS","CLT","American"
"MIA-ORD","AA",1197,800461,"MIA","ORD","American"
"PHX-SEA","AS",1107,799948,"PHX","SEA","Alaska"
"EWR-IAH","UA",1400,797240,"EWR","IAH","United"
"ATL-DEN","DL",1199,791923,"ATL","DEN","Delta"
"DFW-LGA","AA",1389,780326,"DFW","LGA","American"
"CLT-PHX","AA",1773,777466,"CLT","PHX","American"
"CLT-PHL","AA",449,776884,"CLT","PHL","American"
"EWR-SFO","UA",2565,773632,"EWR","SFO","United"
"ATL-RSW","DL",515,767841,"ATL","RSW","Delta"
"DFW-PHL","AA",1303,765812,"DFW","PHL","American"
"CLT-LAX","AA",2125,761434,"CLT","LAX","American"
"LAS-SEA","AS",867,758058,"LAS","SEA","Alaska"
"ATL-DCA","DL",547,754902,"ATL","DCA","Delta"
"EWR-LAX","UA",2454,751821,"EWR","LAX","United"
"IAH-SFO","UA",1635,747527,"IAH","SFO","United"
"ATL-DFW","DL",731,739052,"ATL","DFW","Delta"
"ATL-CHS","DL",259,738662,"ATL","CHS","Delta"
"ATL-EWR","DL",746,738275,"ATL","EWR","Delta"
"MIA-SJU","AA",1045,737903,"MIA","SJU","American"
"MSP-PHX","DL",1276,737657,"MSP","PHX","Delta"
"BWI-MCO","WN",787,734618,"BWI","MCO","Southwest"
"LGA-MIA","AA",1096,725918,"LGA","MIA","American"
"MCO-MDW","WN",990,725455,"MCO","MDW","Southwest"
