"pair","carrier","dist","pass","port1","port2","carrier_name","Hubs","city1","city2","nsmiles","passengers_sum","fare","ppm","income"
"ATL-MCO","DL",404,1557495,"ATL","MCO","Delta",1,"Atlanta, GA","Orlando, FL",404,6539,151.548779629913,0.3751207416582,990977.47
"DFW-LAX","AA",1235,1504019,"DFW","LAX","American",1,"Dallas/Fort Worth, TX","Los Angeles, CA",1246,18997,196.442065589304,0.159062401286885,3731809.92
"ATL-LAX","DL",1947,1255438,"ATL","LAX","Delta",1,"Atlanta, GA","Los Angeles, CA",1947,12216,305.256958087754,0.156783234765153,3729019
"ATL-TPA","DL",406,1191641,"ATL","TPA","Delta",1,"Atlanta, GA","Tampa, FL",406,4837,150.747490179864,0.371299236896216,729165.61
"DFW-MIA","AA",1121,1180835,"DFW","MIA","American",1,"Dallas/Fort Worth, TX","Miami, FL",1121,9180,177.042724400871,0.15793284959935,1625252.21
"DFW-LAS","AA",1055,1131169,"DFW","LAS","American",1,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,9659,215.92545294544,0.204668675777668,2085623.95
"ATL-DTW","DL",594,1105853,"ATL","DTW","Delta",1,"Atlanta, GA","Detroit, MI",594,5142,187.315060287826,0.315345219339774,963174.04
"ATL-SLC","DL",1590,1103286,"ATL","SLC","Delta",1,"Atlanta, GA","Salt Lake City, UT",1590,2503,309.718150219736,0.194791289446375,775224.53
"DFW-PHX","AA",868,1090892,"DFW","PHX","American",1,"Dallas/Fort Worth, TX","Phoenix, AZ",879,7452,192.804659151905,0.22212518335473,1436780.32
"CLT-DFW","AA",936,1069587,"CLT","DFW","American",1,"Charlotte, NC","Dallas/Fort Worth, TX",936,3480,208.130155172414,0.222361276893604,724292.94
"LAX-MIA","AA",2342,1057660,"LAX","MIA","American",1,"Los Angeles, CA","Miami, FL",2343,14156,244.734106385985,0.104497910497859,3464456.01
"CLT-MCO","AA",468,1047494,"CLT","MCO","American",1,"Charlotte, NC","Orlando, FL",468,2377,175.483824148086,0.374965436213859,417125.05
"JFK-MIA","AA",1089,1047032,"JFK","MIA","American",1,"New York City, NY","Miami, FL",1139,54581,160.470923430573,0.147356219862785,8758663.47176409
"DFW-ORD","AA",801,1045977,"DFW","ORD","American",1,"Dallas/Fort Worth, TX","Chicago, IL",801,11432,161.297566480056,0.201370245293453,1843953.78
"DEN-IAH","UA",862,1045398,"DEN","IAH","United",1,"Denver, CO","Houston, TX",883,7787,154.688016685514,0.179452455551641,1204555.5859301
"ATL-BOS","DL",946,1039401,"ATL","BOS","Delta",1,"Atlanta, GA","Boston, MA",952,6819,210.720915090189,0.222749381702103,1436905.92
"DEN-ORD","UA",888,1017041,"DEN","ORD","United",1,"Denver, CO","Chicago, IL",895,10475,131.997097852029,0.148645380463996,1382669.6
"ATL-MIA","DL",594,977684,"ATL","MIA","Delta",1,"Atlanta, GA","Miami, FL",594,15456,145.929539337474,0.245672625147263,2255486.96
"ATL-LGA","DL",762,977463,"ATL","LGA","Delta",1,"Atlanta, GA","New York City, NY",795,21496,194.212135280983,0.254871568610213,4174784.06
"DFW-MCO","AA",985,964107,"DFW","MCO","American",1,"Dallas/Fort Worth, TX","Orlando, FL",985,8366,187.030008367201,0.189878181083452,1564693.05
"ATL-JAX","DL",270,955095,"ATL","JAX","Delta",1,"Atlanta, GA","Jacksonville, FL",270,1727,167.537909669948,0.620510776555362,289337.97
"DFW-SAT","AA",247,947752,"DFW","SAT","American",1,"Dallas/Fort Worth, TX","San Antonio, TX",247,2581,162.540559026605,0.65805894342755,419517.182847667
"IAH-ORD","UA",925,927563,"IAH","ORD","United",1,"Houston, TX","Chicago, IL",945,8946,162.35045159848,0.175514001728086,1452387.14
"JFK-LAX","DL",2475,923062,"JFK","LAX","Delta",1,"New York City, NY","Los Angeles, CA",2510,33868,327.458500582206,0.1323064648817,11090364.4977182
"ATL-LAS","DL",1747,920699,"ATL","LAS","Delta",1,"Atlanta, GA","Las Vegas, NV",1747,9095,240.767717427158,0.13781781192167,2189782.39
"DFW-SAN","AA",1171,916250,"DFW","SAN","American",1,"Dallas/Fort Worth, TX","San Diego, CA",1182,4559,225.271096731739,0.192374975859726,1027010.93
"DEN-DFW","AA",641,915998,"DEN","DFW","American",1,"Denver, CO","Dallas/Fort Worth, TX",651,9649,128.768937319904,0.200887577722158,1242491.47619975
"AUS-DFW","AA",190,906674,"AUS","DFW","American",1,"Austin, TX","Dallas/Fort Worth, TX",190,1367,177.262678462198,0.932961465590518,242318.081457825
"CLT-MIA","AA",650,894459,"CLT","MIA","American",1,"Charlotte, NC","Miami, FL",650,4769,155.585523170476,0.239362343339194,741987.36
"ATL-RDU","DL",356,880452,"ATL","RDU","Delta",1,"Atlanta, GA","Raleigh/Durham, NC",356,2619,159.860068728522,0.449045136877872,418673.52
"ORD-PHX","AA",1440,852604,"ORD","PHX","American",1,"Chicago, IL","Phoenix, AZ",1444,12965,183.279371649345,0.127277341423156,2376217.05343376
"IAH-LAX","UA",1379,851812,"IAH","LAX","United",1,"Houston, TX","Los Angeles, CA",1390,11804,206.59887241613,0.149817891527288,2438693.09
"LAX-SEA","AS",954,850556,"LAX","SEA","Alaska",1,"Los Angeles, CA","Seattle, WA",978,21677,147.561277390783,0.154676391394951,3198685.81
"CLT-TPA","AA",507,844770,"CLT","TPA","American",1,"Charlotte, NC","Tampa, FL",507,1836,165.594188453159,0.326615756317868,304030.93
"LAX-ORD","AA",1744,828771,"LAX","ORD","American",1,"Los Angeles, CA","Chicago, IL",1750,18144,199.348832745753,0.114305523363391,3616985.22133895
"LAX-ORD","UA",1744,825975,"LAX","ORD","United",1,"Los Angeles, CA","Chicago, IL",1750,18144,217.082043650794,0.124473648882336,3938736.6
"CLT-ORD","AA",599,822980,"CLT","ORD","American",1,"Charlotte, NC","Chicago, IL",599,3652,167.456297918949,0.279559762802919,611550.4
"ORD-SFO","UA",1846,819852,"ORD","SFO","United",1,"Chicago, IL","San Francisco, CA",1855,9452,280.488884892086,0.151944141328324,2651180.94
"ATL-PBI","DL",545,813857,"ATL","PBI","Delta",1,"Atlanta, GA","West Palm Beach/Palm Beach, FL",545,2176,177.314609375,0.325347907110092,385836.59
"DEN-PHX","WN",602,812886,"DEN","PHX","Southwest",1,"Denver, CO","Phoenix, AZ",602,9055,145.652683600221,0.24194797940236,1318885.05
"BOS-CLT","AA",728,802230,"BOS","CLT","American",1,"Boston, MA","Charlotte, NC",737,4398,191.340184174625,0.262829923316792,841514.13
"MIA-ORD","AA",1197,800461,"MIA","ORD","American",1,"Miami, FL","Chicago, IL",1197,15356,153.530481245116,0.128262724515552,2357614.07
"PHX-SEA","AS",1107,799948,"PHX","SEA","Alaska",1,"Phoenix, AZ","Seattle, WA",1107,11004,145.627895310796,0.131551847615895,1602489.36
"ATL-DEN","DL",1199,791923,"ATL","DEN","Delta",1,"Atlanta, GA","Denver, CO",1199,6912,188.01095775463,0.156806470187347,1299531.74
"DFW-LGA","AA",1389,780326,"DFW","LGA","American",1,"Dallas/Fort Worth, TX","New York City, NY",1428,13442,201.143026335367,0.14481139404994,2703764.56
